===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: 0 dBm
  Iteration 941: 144 ms
  Iteration 942: 143 ms
  Iteration 943: 144 ms
  Iteration 944: 142 ms
  Iteration 945: 144 ms
  Iteration 946: 143 ms
  Iteration 947: 143 ms
  Iteration 948: 144 ms
  Iteration 949: 143 ms
  Iteration 950: 144 ms
  Iteration 951: 143 ms
  Iteration 952: 144 ms
  Iteration 953: 144 ms
  Iteration 954: 144 ms
  Iteration 955: 145 ms
  Iteration 956: 143 ms
  Iteration 957: 143 ms
  Iteration 958: 144 ms
  Iteration 959: 143 ms
  Iteration 960: 144 ms
  Iteration 961: 143 ms
  Iteration 962: 144 ms
  Iteration 963: 143 ms
  Iteration 964: 144 ms
  Iteration 965: 144 ms
  Iteration 966: 143 ms
  Iteration 967: 143 ms
  Iteration 968: 143 ms
  Iteration 969: 144 ms
  Iteration 970: 143 ms
  Iteration 971: 144 ms
  Iteration 972: 143 ms
  Iteration 973: 143 ms
  Iteration 974: 144 ms
  Iteration 975: 144 ms
  Iteration 976: 143 ms
  Iteration 977: 143 ms
  Iteration 978: 143 ms
  Iteration 979: 144 ms
  Iteration 980: 143 ms
  Iteration 981: 143 ms
  Iteration 982: 144 ms
  Iteration 983: 143 ms
  Iteration 984: 144 ms
